"Row","Identifier_1","n","d13C/12C","dC_STDEV","d18O/16O","dO_STDEV","dC_corrected","dO_corrected","dC_mean_intercept","dC_mean_slop","dO_mean_intercept","dO_mean_slop"
3,"IAEA-603",6,3.01,0.0335847187472715,-3.4325,0.0558914125783201,2.37993355775234,-2.23301303787729,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
4,"TK-20",6,-7.75633333333333,0.0328315566355163,-7.54583333333333,0.0490573926924146,-8.47861272549934,-6.56772065502027,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
5,"IAEA-CO-8",5,-4.9824,0.0335612872220361,-22.792,0.0321947200640105,-5.68092083225299,-22.6344163071025,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
6,"S1",6,-9.57866666666667,0.0372841938508951,-6.31883333333333,0.0872839873312651,-10.3165542261816,-5.27468510083037,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
7,"S2",6,-9.26733333333333,0.0336943780341928,-6.01783333333333,0.0532261944701833,-10.0025543429482,-4.95748566985143,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
8,"S3",6,-9.92783333333333,0.0410271590264031,-6.12866666666667,0.064360270698968,-10.6687114828059,-5.07428390994058,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
9,"S4",5,-8.9018,0.0254291171691034,-6.0044,0.025885517186257,-9.63389024021392,-4.94332937187973,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
10,"S5",6,-9.67766666666667,0.0297295214297917,-6.01783333333333,0.051146467239792,-10.4164021547901,-4.95748566985143,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
11,"S6",6,-9.67166666666667,0.0286364181496996,-5.9555,0.0381442437771853,-10.4103507651775,-4.89179763707949,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
12,"S7",5,-8.6768,0.0383945308605274,-5.5432,0.0378568355782678,-9.40696312974007,-4.45730818394788,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
13,"S8",6,-8.84883333333333,0.0284422416681793,-5.32483333333333,0.0586193464461842,-9.58046991746682,-4.22718930550457,-0.655846897920054,1.00856493543933,1.38421967586095,1.05381870757123
15,"HuL",6,2.9155,0.0801044110312701,-11.4546666666667,0.0531649425007788,2.31593212132196,-10.8592161709721,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
16,"NTUGK2208",6,3.79566666666667,0.0358344961051654,-13.3031666666667,0.0556048059473679,3.20504318626707,-12.8140836511875,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
17,"S10",6,-9.09483333333333,0.0244136801358946,-5.41683333333333,0.0407508009464572,-9.81645219264777,-4.47395026115673,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
18,"S11",5,-8.1468,0.0357664647400327,-5.189,0.0373483600710928,-8.85878478881881,-4.23300680741456,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
19,"S12",5,-8.271,0.0320046871567275,-5.5044,0.0370386284843269,-8.98424692962493,-4.56655574074425,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
20,"S13",6,-8.85166666666667,0.0426080326281847,-5.06933333333333,0.0642654218413327,-9.57081442636205,-4.10645421064288,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
21,"S14",6,-9.5825,0.0456586976015157,-5.468,0.0718892667000204,-10.309074608105,-4.52806119041704,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
22,"S15",6,-8.63883333333333,0.0466800576025541,-5.73433333333333,0.0763302765035678,-9.35581824572677,-4.80972003392838,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
23,"S16",6,-8.94883333333333,0.0345025763933331,-5.98866666666667,0.0554951449327877,-9.66896851665991,-5.07868836634283,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
24,"S17",6,-8.89733333333333,0.0361337023351391,-5.61433333333333,0.0733892211280225,-9.61694516519844,-4.68281492295956,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
25,"IAEA-603",6,2.96666666666667,0.0254776590586952,-3.44816666666667,0.0469044537094056,2.367618752062,-2.39200141287397,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
26,"TK-20",6,-7.80216666666667,0.0213735298389802,-7.20333333333333,0.0448885038487336,-8.51064923492874,-6.3632501007049,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
27,"IAEA-CO-8",6,-4.957,0.0372710790470754,-22.6321666666667,0.0324277830125821,-5.63656951713326,-22.6798984864211,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
28,"S18",6,-8.54766666666667,0.0358939796870978,-5.78383333333333,0.080268888396716,-9.26372512841471,-4.86206839220301,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
29,"S19",6,-4.80433333333333,0.0478369917300177,-5.89766666666667,0.0544681354351127,-5.48235142671673,-4.98245199052481,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
30,"S20",5,-5.0088,0.0303486408262381,-5.9882,0.0120224789457083,-5.68889591724403,-5.07819484646684,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
31,"S21",5,-5.934,0.034636685753692,-6.0482,0.0434423756256492,-6.62349795165479,-5.14164740195124,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
32,"S22",5,-6.221,0.0341730888273213,-6.045,0.0260576284415908,-6.91341449280902,-5.13826326565874,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
33,"S23",5,-6.0276,0.0281542181564325,-5.9822,0.0355266097453725,-6.71804913023332,-5.0718495909184,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
